,Name,Grade,Moves,Holdsets,Id,holds,number_of_holds,lengths_of_moves
78,DISPENSORY,6B+,"[{'Id': 1595435, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1595436, 'Description': 'D9', 'IsStart': False, 'IsEnd': False}, {'Id': 1595437, 'Description': 'B11', 'IsStart': False, 'IsEnd': False}, {'Id': 1595438, 'Description': 'G13', 'IsStart': False, 'IsEnd': False}, {'Id': 1595439, 'Description': 'I16', 'IsStart': False, 'IsEnd': False}, {'Id': 1595440, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",238119,"['F5', 'D9', 'B11', 'G13', 'I16', 'G18']",6,"{'F5toF5': 0.0, 'F5toD9': 4.47213595499958, 'F5toB11': 7.211102550927978, 'F5toG13': 8.06225774829855, 'F5toI16': 11.40175425099138, 'F5toG18': 13.038404810405298, 'D9toF5': 4.47213595499958, 'D9toD9': 0.0, 'D9toB11': 2.8284271247461903, 'D9toG13': 5.0, 'D9toI16': 8.602325267042627, 'D9toG18': 9.486832980505138, 'B11toF5': 7.211102550927978, 'B11toD9': 2.8284271247461903, 'B11toB11': 0.0, 'B11toG13': 5.385164807134504, 'B11toI16': 8.602325267042627, 'B11toG18': 8.602325267042627, 'G13toF5': 8.06225774829855, 'G13toD9': 5.0, 'G13toB11': 5.385164807134504, 'G13toG13': 0.0, 'G13toI16': 3.605551275463989, 'G13toG18': 5.0, 'I16toF5': 11.40175425099138, 'I16toD9': 8.602325267042627, 'I16toB11': 8.602325267042627, 'I16toG13': 3.605551275463989, 'I16toI16': 0.0, 'I16toG18': 2.8284271247461903, 'G18toF5': 13.038404810405298, 'G18toD9': 9.486832980505138, 'G18toB11': 8.602325267042627, 'G18toG13': 5.0, 'G18toI16': 2.8284271247461903, 'G18toG18': 0.0}"
79,DSTYLE,6B+,"[{'Id': 1667215, 'Description': 'C10', 'IsStart': False, 'IsEnd': False}, {'Id': 1667216, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1667217, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1667218, 'Description': 'F11', 'IsStart': False, 'IsEnd': False}, {'Id': 1667219, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1667220, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",192386,"['C10', 'E8', 'F14', 'F11', 'F5', 'G18']",6,"{'C10toC10': 0.0, 'C10toE8': 2.8284271247461903, 'C10toF14': 5.0, 'C10toF11': 3.1622776601683795, 'C10toF5': 5.830951894845301, 'C10toG18': 8.94427190999916, 'E8toC10': 2.8284271247461903, 'E8toE8': 0.0, 'E8toF14': 6.082762530298219, 'E8toF11': 3.1622776601683795, 'E8toF5': 3.1622776601683795, 'E8toG18': 10.198039027185569, 'F14toC10': 5.0, 'F14toE8': 6.082762530298219, 'F14toF14': 0.0, 'F14toF11': 3.0, 'F14toF5': 9.0, 'F14toG18': 4.123105625617661, 'F11toC10': 3.1622776601683795, 'F11toE8': 3.1622776601683795, 'F11toF14': 3.0, 'F11toF11': 0.0, 'F11toF5': 6.0, 'F11toG18': 7.0710678118654755, 'F5toC10': 5.830951894845301, 'F5toE8': 3.1622776601683795, 'F5toF14': 9.0, 'F5toF11': 6.0, 'F5toF5': 0.0, 'F5toG18': 13.038404810405298, 'G18toC10': 8.94427190999916, 'G18toE8': 10.198039027185569, 'G18toF14': 4.123105625617661, 'G18toF11': 7.0710678118654755, 'G18toF5': 13.038404810405298, 'G18toG18': 0.0}"
80,DUPLICATE TEST,6B+,"[{'Id': 1667177, 'Description': 'D12', 'IsStart': False, 'IsEnd': False}, {'Id': 1667178, 'Description': 'D9', 'IsStart': False, 'IsEnd': False}, {'Id': 1667179, 'Description': 'E15', 'IsStart': False, 'IsEnd': False}, {'Id': 1667180, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}, {'Id': 1667181, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1667182, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1667183, 'Description': 'G8', 'IsStart': False, 'IsEnd': False}, {'Id': 1667184, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1667185, 'Description': 'H11', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",134795,"['D12', 'D9', 'E15', 'E18', 'F5', 'G2', 'G8', 'H14', 'H11']",9,"{'D12toD12': 0.0, 'D12toD9': 3.0, 'D12toE15': 3.1622776601683795, 'D12toE18': 6.082762530298219, 'D12toF5': 7.280109889280518, 'D12toG2': 10.44030650891055, 'D12toG8': 5.0, 'D12toH14': 4.47213595499958, 'D12toH11': 4.123105625617661, 'D9toD12': 3.0, 'D9toD9': 0.0, 'D9toE15': 6.082762530298219, 'D9toE18': 9.055385138137417, 'D9toF5': 4.47213595499958, 'D9toG2': 7.615773105863909, 'D9toG8': 3.1622776601683795, 'D9toH14': 6.4031242374328485, 'D9toH11': 4.47213595499958, 'E15toD12': 3.1622776601683795, 'E15toD9': 6.082762530298219, 'E15toE15': 0.0, 'E15toE18': 3.0, 'E15toF5': 10.04987562112089, 'E15toG2': 13.152946437965905, 'E15toG8': 7.280109889280518, 'E15toH14': 3.1622776601683795, 'E15toH11': 5.0, 'E18toD12': 6.082762530298219, 'E18toD9': 9.055385138137417, 'E18toE15': 3.0, 'E18toE18': 0.0, 'E18toF5': 13.038404810405298, 'E18toG2': 16.1245154965971, 'E18toG8': 10.198039027185569, 'E18toH14': 5.0, 'E18toH11': 7.615773105863909, 'F5toD12': 7.280109889280518, 'F5toD9': 4.47213595499958, 'F5toE15': 10.04987562112089, 'F5toE18': 13.038404810405298, 'F5toF5': 0.0, 'F5toG2': 3.1622776601683795, 'F5toG8': 3.1622776601683795, 'F5toH14': 9.219544457292887, 'F5toH11': 6.324555320336759, 'G2toD12': 10.44030650891055, 'G2toD9': 7.615773105863909, 'G2toE15': 13.152946437965905, 'G2toE18': 16.1245154965971, 'G2toF5': 3.1622776601683795, 'G2toG2': 0.0, 'G2toG8': 6.0, 'G2toH14': 12.041594578792296, 'G2toH11': 9.055385138137417, 'G8toD12': 5.0, 'G8toD9': 3.1622776601683795, 'G8toE15': 7.280109889280518, 'G8toE18': 10.198039027185569, 'G8toF5': 3.1622776601683795, 'G8toG2': 6.0, 'G8toG8': 0.0, 'G8toH14': 6.082762530298219, 'G8toH11': 3.1622776601683795, 'H14toD12': 4.47213595499958, 'H14toD9': 6.4031242374328485, 'H14toE15': 3.1622776601683795, 'H14toE18': 5.0, 'H14toF5': 9.219544457292887, 'H14toG2': 12.041594578792296, 'H14toG8': 6.082762530298219, 'H14toH14': 0.0, 'H14toH11': 3.0, 'H11toD12': 4.123105625617661, 'H11toD9': 4.47213595499958, 'H11toE15': 5.0, 'H11toE18': 7.615773105863909, 'H11toF5': 6.324555320336759, 'H11toG2': 9.055385138137417, 'H11toG8': 3.1622776601683795, 'H11toH14': 3.0, 'H11toH11': 0.0}"
81,EASY DOES IT,6B+,"[{'Id': 1555119, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1555120, 'Description': 'C7', 'IsStart': False, 'IsEnd': False}, {'Id': 1555121, 'Description': 'F11', 'IsStart': False, 'IsEnd': False}, {'Id': 1555122, 'Description': 'E12', 'IsStart': False, 'IsEnd': False}, {'Id': 1555123, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}, {'Id': 1555124, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 1555125, 'Description': 'H16', 'IsStart': False, 'IsEnd': False}, {'Id': 1555126, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",123453,"['F5', 'C7', 'F11', 'E12', 'K7', 'I14', 'H16', 'I18']",8,"{'F5toF5': 0.0, 'F5toC7': 3.605551275463989, 'F5toF11': 6.0, 'F5toE12': 7.0710678118654755, 'F5toK7': 5.385164807134504, 'F5toI14': 9.486832980505138, 'F5toH16': 11.180339887498949, 'F5toI18': 13.341664064126334, 'C7toF5': 3.605551275463989, 'C7toC7': 0.0, 'C7toF11': 5.0, 'C7toE12': 5.385164807134504, 'C7toK7': 8.0, 'C7toI14': 9.219544457292887, 'C7toH16': 10.295630140987, 'C7toI18': 12.529964086141668, 'F11toF5': 6.0, 'F11toC7': 5.0, 'F11toF11': 0.0, 'F11toE12': 1.4142135623730951, 'F11toK7': 6.4031242374328485, 'F11toI14': 4.242640687119285, 'F11toH16': 5.385164807134504, 'F11toI18': 7.615773105863909, 'E12toF5': 7.0710678118654755, 'E12toC7': 5.385164807134504, 'E12toF11': 1.4142135623730951, 'E12toE12': 0.0, 'E12toK7': 7.810249675906654, 'E12toI14': 4.47213595499958, 'E12toH16': 5.0, 'E12toI18': 7.211102550927978, 'K7toF5': 5.385164807134504, 'K7toC7': 8.0, 'K7toF11': 6.4031242374328485, 'K7toE12': 7.810249675906654, 'K7toK7': 0.0, 'K7toI14': 7.280109889280518, 'K7toH16': 9.486832980505138, 'K7toI18': 11.180339887498949, 'I14toF5': 9.486832980505138, 'I14toC7': 9.219544457292887, 'I14toF11': 4.242640687119285, 'I14toE12': 4.47213595499958, 'I14toK7': 7.280109889280518, 'I14toI14': 0.0, 'I14toH16': 2.23606797749979, 'I14toI18': 4.0, 'H16toF5': 11.180339887498949, 'H16toC7': 10.295630140987, 'H16toF11': 5.385164807134504, 'H16toE12': 5.0, 'H16toK7': 9.486832980505138, 'H16toI14': 2.23606797749979, 'H16toH16': 0.0, 'H16toI18': 2.23606797749979, 'I18toF5': 13.341664064126334, 'I18toC7': 12.529964086141668, 'I18toF11': 7.615773105863909, 'I18toE12': 7.211102550927978, 'I18toK7': 11.180339887498949, 'I18toI14': 4.0, 'I18toH16': 2.23606797749979, 'I18toI18': 0.0}"
82,EASY-PEASY LEMON SQUEEZY,6B+,"[{'Id': 1671017, 'Description': 'J8', 'IsStart': False, 'IsEnd': False}, {'Id': 1671018, 'Description': 'I10', 'IsStart': False, 'IsEnd': False}, {'Id': 1671019, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1671020, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 1671021, 'Description': 'E15', 'IsStart': False, 'IsEnd': False}, {'Id': 1671022, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",311645,"['J8', 'I10', 'K5', 'I14', 'E15', 'I18']",6,"{'J8toJ8': 0.0, 'J8toI10': 2.23606797749979, 'J8toK5': 3.1622776601683795, 'J8toI14': 6.082762530298219, 'J8toE15': 8.602325267042627, 'J8toI18': 10.04987562112089, 'I10toJ8': 2.23606797749979, 'I10toI10': 0.0, 'I10toK5': 5.385164807134504, 'I10toI14': 4.0, 'I10toE15': 6.4031242374328485, 'I10toI18': 8.0, 'K5toJ8': 3.1622776601683795, 'K5toI10': 5.385164807134504, 'K5toK5': 0.0, 'K5toI14': 9.219544457292887, 'K5toE15': 11.661903789690601, 'K5toI18': 13.152946437965905, 'I14toJ8': 6.082762530298219, 'I14toI10': 4.0, 'I14toK5': 9.219544457292887, 'I14toI14': 0.0, 'I14toE15': 4.123105625617661, 'I14toI18': 4.0, 'E15toJ8': 8.602325267042627, 'E15toI10': 6.4031242374328485, 'E15toK5': 11.661903789690601, 'E15toI14': 4.123105625617661, 'E15toE15': 0.0, 'E15toI18': 5.0, 'I18toJ8': 10.04987562112089, 'I18toI10': 8.0, 'I18toK5': 13.152946437965905, 'I18toI14': 4.0, 'I18toE15': 5.0, 'I18toI18': 0.0}"
83,E-Z CHEESE,6B+,"[{'Id': 1518404, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}, {'Id': 1518405, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1518406, 'Description': 'H10', 'IsStart': False, 'IsEnd': False}, {'Id': 1518407, 'Description': 'H12', 'IsStart': False, 'IsEnd': False}, {'Id': 1518408, 'Description': 'J13', 'IsStart': False, 'IsEnd': False}, {'Id': 1518409, 'Description': 'G15', 'IsStart': False, 'IsEnd': False}, {'Id': 1518410, 'Description': 'H16', 'IsStart': False, 'IsEnd': False}, {'Id': 1518411, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",19540,"['G4', 'E8', 'H10', 'H12', 'J13', 'G15', 'H16', 'D18']",8,"{'G4toG4': 0.0, 'G4toE8': 4.47213595499958, 'G4toH10': 6.082762530298219, 'G4toH12': 8.06225774829855, 'G4toJ13': 9.486832980505138, 'G4toG15': 11.0, 'G4toH16': 12.041594578792296, 'G4toD18': 14.317821063276353, 'E8toG4': 4.47213595499958, 'E8toE8': 0.0, 'E8toH10': 3.605551275463989, 'E8toH12': 5.0, 'E8toJ13': 7.0710678118654755, 'E8toG15': 7.280109889280518, 'E8toH16': 8.54400374531753, 'E8toD18': 10.04987562112089, 'H10toG4': 6.082762530298219, 'H10toE8': 3.605551275463989, 'H10toH10': 0.0, 'H10toH12': 2.0, 'H10toJ13': 3.605551275463989, 'H10toG15': 5.0990195135927845, 'H10toH16': 6.0, 'H10toD18': 8.94427190999916, 'H12toG4': 8.06225774829855, 'H12toE8': 5.0, 'H12toH10': 2.0, 'H12toH12': 0.0, 'H12toJ13': 2.23606797749979, 'H12toG15': 3.1622776601683795, 'H12toH16': 4.0, 'H12toD18': 7.211102550927978, 'J13toG4': 9.486832980505138, 'J13toE8': 7.0710678118654755, 'J13toH10': 3.605551275463989, 'J13toH12': 2.23606797749979, 'J13toJ13': 0.0, 'J13toG15': 3.605551275463989, 'J13toH16': 3.605551275463989, 'J13toD18': 7.810249675906654, 'G15toG4': 11.0, 'G15toE8': 7.280109889280518, 'G15toH10': 5.0990195135927845, 'G15toH12': 3.1622776601683795, 'G15toJ13': 3.605551275463989, 'G15toG15': 0.0, 'G15toH16': 1.4142135623730951, 'G15toD18': 4.242640687119285, 'H16toG4': 12.041594578792296, 'H16toE8': 8.54400374531753, 'H16toH10': 6.0, 'H16toH12': 4.0, 'H16toJ13': 3.605551275463989, 'H16toG15': 1.4142135623730951, 'H16toH16': 0.0, 'H16toD18': 4.47213595499958, 'D18toG4': 14.317821063276353, 'D18toE8': 10.04987562112089, 'D18toH10': 8.94427190999916, 'D18toH12': 7.211102550927978, 'D18toJ13': 7.810249675906654, 'D18toG15': 4.242640687119285, 'D18toH16': 4.47213595499958, 'D18toD18': 0.0}"
84,F**K TRUMP!,6B+,"[{'Id': 1667131, 'Description': 'B18', 'IsStart': False, 'IsEnd': True}, {'Id': 1667132, 'Description': 'B16', 'IsStart': False, 'IsEnd': False}, {'Id': 1667133, 'Description': 'E15', 'IsStart': False, 'IsEnd': False}, {'Id': 1667134, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1667135, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1667136, 'Description': 'H11', 'IsStart': False, 'IsEnd': False}, {'Id': 1667137, 'Description': 'J8', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",29565,"['B18', 'B16', 'E15', 'F14', 'F5', 'H11', 'J8']",7,"{'B18toB18': 0.0, 'B18toB16': 2.0, 'B18toE15': 4.242640687119285, 'B18toF14': 5.656854249492381, 'B18toF5': 13.601470508735444, 'B18toH11': 9.219544457292887, 'B18toJ8': 12.806248474865697, 'B16toB18': 2.0, 'B16toB16': 0.0, 'B16toE15': 3.1622776601683795, 'B16toF14': 4.47213595499958, 'B16toF5': 11.704699910719626, 'B16toH11': 7.810249675906654, 'B16toJ8': 11.313708498984761, 'E15toB18': 4.242640687119285, 'E15toB16': 3.1622776601683795, 'E15toE15': 0.0, 'E15toF14': 1.4142135623730951, 'E15toF5': 10.04987562112089, 'E15toH11': 5.0, 'E15toJ8': 8.602325267042627, 'F14toB18': 5.656854249492381, 'F14toB16': 4.47213595499958, 'F14toE15': 1.4142135623730951, 'F14toF14': 0.0, 'F14toF5': 9.0, 'F14toH11': 3.605551275463989, 'F14toJ8': 7.211102550927978, 'F5toB18': 13.601470508735444, 'F5toB16': 11.704699910719626, 'F5toE15': 10.04987562112089, 'F5toF14': 9.0, 'F5toF5': 0.0, 'F5toH11': 6.324555320336759, 'F5toJ8': 5.0, 'H11toB18': 9.219544457292887, 'H11toB16': 7.810249675906654, 'H11toE15': 5.0, 'H11toF14': 3.605551275463989, 'H11toF5': 6.324555320336759, 'H11toH11': 0.0, 'H11toJ8': 3.605551275463989, 'J8toB18': 12.806248474865697, 'J8toB16': 11.313708498984761, 'J8toE15': 8.602325267042627, 'J8toF14': 7.211102550927978, 'J8toF5': 5.0, 'J8toH11': 3.605551275463989, 'J8toJ8': 0.0}"
85,FAR FROM THE MADDING CROWD,6B+,"[{'Id': 1518000, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1518001, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1518002, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1518003, 'Description': 'F11', 'IsStart': False, 'IsEnd': False}, {'Id': 1518004, 'Description': 'C13', 'IsStart': False, 'IsEnd': False}, {'Id': 1518005, 'Description': 'D15', 'IsStart': False, 'IsEnd': False}, {'Id': 1518006, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",19215,"['E6', 'C5', 'E8', 'F11', 'C13', 'D15', 'D18']",7,"{'E6toE6': 0.0, 'E6toC5': 2.23606797749979, 'E6toE8': 2.0, 'E6toF11': 5.0990195135927845, 'E6toC13': 7.280109889280518, 'E6toD15': 9.055385138137417, 'E6toD18': 12.041594578792296, 'C5toE6': 2.23606797749979, 'C5toC5': 0.0, 'C5toE8': 3.605551275463989, 'C5toF11': 6.708203932499369, 'C5toC13': 8.0, 'C5toD15': 10.04987562112089, 'C5toD18': 13.038404810405298, 'E8toE6': 2.0, 'E8toC5': 3.605551275463989, 'E8toE8': 0.0, 'E8toF11': 3.1622776601683795, 'E8toC13': 5.385164807134504, 'E8toD15': 7.0710678118654755, 'E8toD18': 10.04987562112089, 'F11toE6': 5.0990195135927845, 'F11toC5': 6.708203932499369, 'F11toE8': 3.1622776601683795, 'F11toF11': 0.0, 'F11toC13': 3.605551275463989, 'F11toD15': 4.47213595499958, 'F11toD18': 7.280109889280518, 'C13toE6': 7.280109889280518, 'C13toC5': 8.0, 'C13toE8': 5.385164807134504, 'C13toF11': 3.605551275463989, 'C13toC13': 0.0, 'C13toD15': 2.23606797749979, 'C13toD18': 5.0990195135927845, 'D15toE6': 9.055385138137417, 'D15toC5': 10.04987562112089, 'D15toE8': 7.0710678118654755, 'D15toF11': 4.47213595499958, 'D15toC13': 2.23606797749979, 'D15toD15': 0.0, 'D15toD18': 3.0, 'D18toE6': 12.041594578792296, 'D18toC5': 13.038404810405298, 'D18toE8': 10.04987562112089, 'D18toF11': 7.280109889280518, 'D18toC13': 5.0990195135927845, 'D18toD15': 3.0, 'D18toD18': 0.0}"
86,FLASH GORDON,6B+,"[{'Id': 1518412, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1518413, 'Description': 'J8', 'IsStart': False, 'IsEnd': False}, {'Id': 1518414, 'Description': 'H11', 'IsStart': False, 'IsEnd': False}, {'Id': 1518415, 'Description': 'G13', 'IsStart': False, 'IsEnd': False}, {'Id': 1518416, 'Description': 'E15', 'IsStart': False, 'IsEnd': False}, {'Id': 1518417, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",19542,"['F5', 'J8', 'H11', 'G13', 'E15', 'G18']",6,"{'F5toF5': 0.0, 'F5toJ8': 5.0, 'F5toH11': 6.324555320336759, 'F5toG13': 8.06225774829855, 'F5toE15': 10.04987562112089, 'F5toG18': 13.038404810405298, 'J8toF5': 5.0, 'J8toJ8': 0.0, 'J8toH11': 3.605551275463989, 'J8toG13': 5.830951894845301, 'J8toE15': 8.602325267042627, 'J8toG18': 10.44030650891055, 'H11toF5': 6.324555320336759, 'H11toJ8': 3.605551275463989, 'H11toH11': 0.0, 'H11toG13': 2.23606797749979, 'H11toE15': 5.0, 'H11toG18': 7.0710678118654755, 'G13toF5': 8.06225774829855, 'G13toJ8': 5.830951894845301, 'G13toH11': 2.23606797749979, 'G13toG13': 0.0, 'G13toE15': 2.8284271247461903, 'G13toG18': 5.0, 'E15toF5': 10.04987562112089, 'E15toJ8': 8.602325267042627, 'E15toH11': 5.0, 'E15toG13': 2.8284271247461903, 'E15toE15': 0.0, 'E15toG18': 3.605551275463989, 'G18toF5': 13.038404810405298, 'G18toJ8': 10.44030650891055, 'G18toH11': 7.0710678118654755, 'G18toG13': 5.0, 'G18toE15': 3.605551275463989, 'G18toG18': 0.0}"
87,FORSÃ˜K 17,6B+,"[{'Id': 1556553, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1556554, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1556555, 'Description': 'E10', 'IsStart': False, 'IsEnd': False}, {'Id': 1556556, 'Description': 'J8', 'IsStart': False, 'IsEnd': False}, {'Id': 1556557, 'Description': 'I13', 'IsStart': False, 'IsEnd': False}, {'Id': 1556558, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1556559, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",128535,"['G2', 'K5', 'E10', 'J8', 'I13', 'F14', 'G18']",7,"{'G2toG2': 0.0, 'G2toK5': 5.0, 'G2toE10': 8.246211251235321, 'G2toJ8': 6.708203932499369, 'G2toI13': 11.180339887498949, 'G2toF14': 12.041594578792296, 'G2toG18': 16.0, 'K5toG2': 5.0, 'K5toK5': 0.0, 'K5toE10': 7.810249675906654, 'K5toJ8': 3.1622776601683795, 'K5toI13': 8.246211251235321, 'K5toF14': 10.295630140987, 'K5toG18': 13.601470508735444, 'E10toG2': 8.246211251235321, 'E10toK5': 7.810249675906654, 'E10toE10': 0.0, 'E10toJ8': 5.385164807134504, 'E10toI13': 5.0, 'E10toF14': 4.123105625617661, 'E10toG18': 8.246211251235321, 'J8toG2': 6.708203932499369, 'J8toK5': 3.1622776601683795, 'J8toE10': 5.385164807134504, 'J8toJ8': 0.0, 'J8toI13': 5.0990195135927845, 'J8toF14': 7.211102550927978, 'J8toG18': 10.44030650891055, 'I13toG2': 11.180339887498949, 'I13toK5': 8.246211251235321, 'I13toE10': 5.0, 'I13toJ8': 5.0990195135927845, 'I13toI13': 0.0, 'I13toF14': 3.1622776601683795, 'I13toG18': 5.385164807134504, 'F14toG2': 12.041594578792296, 'F14toK5': 10.295630140987, 'F14toE10': 4.123105625617661, 'F14toJ8': 7.211102550927978, 'F14toI13': 3.1622776601683795, 'F14toF14': 0.0, 'F14toG18': 4.123105625617661, 'G18toG2': 16.0, 'G18toK5': 13.601470508735444, 'G18toE10': 8.246211251235321, 'G18toJ8': 10.44030650891055, 'G18toI13': 5.385164807134504, 'G18toF14': 4.123105625617661, 'G18toG18': 0.0}"
88,FORSÃ˜K 25,6B+,"[{'Id': 1622053, 'Description': 'A14', 'IsStart': False, 'IsEnd': False}, {'Id': 1622054, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1622055, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}, {'Id': 1622056, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1622057, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1622058, 'Description': 'E12', 'IsStart': False, 'IsEnd': False}, {'Id': 1622059, 'Description': 'H8', 'IsStart': False, 'IsEnd': False}, {'Id': 1622060, 'Description': 'J5', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",152217,"['A14', 'C5', 'D18', 'E6', 'E8', 'E12', 'H8', 'J5']",8,"{'A14toA14': 0.0, 'A14toC5': 9.219544457292887, 'A14toD18': 5.0, 'A14toE6': 8.94427190999916, 'A14toE8': 7.211102550927978, 'A14toE12': 4.47213595499958, 'A14toH8': 9.219544457292887, 'A14toJ5': 12.727922061357855, 'C5toA14': 9.219544457292887, 'C5toC5': 0.0, 'C5toD18': 13.038404810405298, 'C5toE6': 2.23606797749979, 'C5toE8': 3.605551275463989, 'C5toE12': 7.280109889280518, 'C5toH8': 5.830951894845301, 'C5toJ5': 7.0, 'D18toA14': 5.0, 'D18toC5': 13.038404810405298, 'D18toD18': 0.0, 'D18toE6': 12.041594578792296, 'D18toE8': 10.04987562112089, 'D18toE12': 6.082762530298219, 'D18toH8': 10.770329614269007, 'D18toJ5': 14.317821063276353, 'E6toA14': 8.94427190999916, 'E6toC5': 2.23606797749979, 'E6toD18': 12.041594578792296, 'E6toE6': 0.0, 'E6toE8': 2.0, 'E6toE12': 6.0, 'E6toH8': 3.605551275463989, 'E6toJ5': 5.0990195135927845, 'E8toA14': 7.211102550927978, 'E8toC5': 3.605551275463989, 'E8toD18': 10.04987562112089, 'E8toE6': 2.0, 'E8toE8': 0.0, 'E8toE12': 4.0, 'E8toH8': 3.0, 'E8toJ5': 5.830951894845301, 'E12toA14': 4.47213595499958, 'E12toC5': 7.280109889280518, 'E12toD18': 6.082762530298219, 'E12toE6': 6.0, 'E12toE8': 4.0, 'E12toE12': 0.0, 'E12toH8': 5.0, 'E12toJ5': 8.602325267042627, 'H8toA14': 9.219544457292887, 'H8toC5': 5.830951894845301, 'H8toD18': 10.770329614269007, 'H8toE6': 3.605551275463989, 'H8toE8': 3.0, 'H8toE12': 5.0, 'H8toH8': 0.0, 'H8toJ5': 3.605551275463989, 'J5toA14': 12.727922061357855, 'J5toC5': 7.0, 'J5toD18': 14.317821063276353, 'J5toE6': 5.0990195135927845, 'J5toE8': 5.830951894845301, 'J5toE12': 8.602325267042627, 'J5toH8': 3.605551275463989, 'J5toJ5': 0.0}"
